Sim_ID,Time (ms),I_ext (pA),v (mV),u (pA)
1,3.5700000000000003,300.0,-50.916279243484226,-0.9789670077873002
1,3.58,300.0,-50.89312379170987,-0.9841297227965935
1,3.59,300.0,-50.869970718195205,-0.9893047796937299
1,3.6,300.0,-50.84681994636833,-0.9944921733729276
1,3.61,300.0,-50.82367139968955,-0.9996918987758625
1,3.62,300.0,-50.8005250016504,-1.0049039508916358
1,3.63,300.0,-50.7773806757726,-1.01012832475674
1,3.64,300.0,-50.754238345607085,-1.015365015455029
1,3.65,300.0,-50.73109793473301,-1.0206140181176842
1,3.66,300.0,-50.70795936675672,-1.0258753279231854
1,3.67,300.0,-50.68482256531078,-1.0311489400972795
1,3.68,300.0,-50.66168745405296,-1.0364348499129525
1,3.69,300.0,-50.638553956665234,-1.0417330526903983
1,3.7,300.0,-50.61542199685281,-1.0470435437969923
1,3.71,300.0,-50.592291498343094,-1.052366318647262
1,3.72,300.0,-50.569162384884734,-1.0577013727028617
1,3.73,300.0,-50.5460345802466,-1.0630487014725436
1,3.74,300.0,-50.52290800821679,-1.068408300512134
1,3.75,300.0,-50.49978259260165,-1.0737801654245063
1,3.7600000000000002,300.0,-50.47665825722476,-1.0791642918595576
1,3.77,300.0,-50.45353492592598,-1.0845606755141834
1,3.7800000000000002,300.0,-50.4304125225604,-1.0899693121322551
1,3.79,300.0,-50.407290970997416,-1.0953901975045959
1,3.8000000000000003,300.0,-50.38417019511966,-1.1008233274689596
1,3.81,300.0,-50.36105011882208,-1.1062686979100076
1,3.8200000000000003,300.0,-50.337930666010905,-1.1117263047592894
1,3.83,300.0,-50.31481176060269,-1.11719614399522
1,3.84,300.0,-50.291693326523266,-1.122678211643062
1,3.85,300.0,-50.268575287706824,-1.1281725037749055
1,3.86,300.0,-50.24545756809488,-1.133679016509648
1,3.87,300.0,-50.22234009163528,-1.1391977460129787
1,3.88,300.0,-50.199222782281254,-1.1447286884973589
1,3.89,300.0,-50.17610556399036,-1.1502718402220065
1,3.9,300.0,-50.15298836072357,-1.155827197492878
1,3.91,300.0,-50.12987109644422,-1.1613947566626552
1,3.92,300.0,-50.10675369511705,-1.1669745141307273
1,3.93,300.0,-50.083636080707215,-1.1725664663431785
1,3.94,300.0,-50.06051817717928,-1.1781706097927727
1,3.95,300.0,-50.03739990849626,-1.1837869410189412
1,3.96,300.0,-50.0142811986186,-1.1894154566077686
1,3.97,300.0,-49.99116197150318,-1.1950561531919823
1,3.98,300.0,-49.96804215110239,-1.2007090274509393
1,3.99,300.0,-49.94492166136305,-1.2063740761106168
1,4.0,300.0,-49.92180042622548,-1.2120512959435998
1,4.01,300.0,-49.898678369622516,-1.2177406837690739
1,4.0200000000000005,300.0,-49.875555415478466,-1.2234422364528141
1,4.03,300.0,-49.85243148770818,-1.2291559509071766
1,4.04,300.0,-49.829306510216014,-1.2348818240910913
1,4.05,300.0,-49.806180406894875,-1.2406198530100547
1,4.0600000000000005,300.0,-49.7830531016252,-1.2463700347161228
1,4.07,300.0,-49.75992451827398,-1.252132366307903
1,4.08,300.0,-49.73679458069378,-1.2579068449305517
1,4.09,300.0,-49.71366321272172,-1.2636934677757679
1,4.1,300.0,-49.69053033817849,-1.269492232081788
1,4.11,300.0,-49.667395880867375,-1.275303135133384
1,4.12,300.0,-49.64425976457324,-1.2811261742618565
1,4.13,300.0,-49.621121913061565,-1.2869613468450367
1,4.14,300.0,-49.5979822500774,-1.2928086503072818
1,4.15,300.0,-49.57484069934442,-1.2986680821194745
1,4.16,300.0,-49.551697184563906,-1.3045396397990199
